"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Indexability","Indexability Status"
"https://unityverseacademy.com/sayfa/iptal-ve-iade-kosullari-28/","535","128","4,180","34,025","Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/suleyman-ozgonul-oyun-gelistiricilikte-zirveye-giden-yol-129/","552","137","4,029","32,626","Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/filiz-tumuklunun-yazilim-test-otomasyonu-egitimi-ve-kariyer-basarisi-90/","781","162","4,821","30,359","Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/elif-arslanin-yazilim-gelistirici-olarak-ayakkabi-dunyasindaki-baslangici-94/","558","135","4,133","33,440","Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/oguzhan-durakin-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-100/","683","150","4,553","35,491","Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/berkay-kurt-multiplayer-oyun-gelistiriciliginde-bir-yildiz-130/","535","134","3,993","33,266","Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/fatih-yilmazin-yazilim-yolculugu-ve-lufthansadaki-basarisi-91/","832","173","4,809","33,364","Hard","Indexable",""
"https://unityverseacademy.com/blog/","755","191","3,953","32,166","Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/gorkem-tekinin-vakif-katilimdaki-backend-developer-yolculugu-96/","565","134","4,216","36,500","Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/begum-kiroglunun-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-98/","667","148","4,507","36,358","Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/suat-erizin-ayes-celikteki-yazilim-gelistirici-ve-kalite-kontrol-gorevi-97/","592","137","4,321","36,536","Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/enes-bugra-cengizin-full-stack-developer-yolculugu-93/","578","141","4,099","34,060","Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/osman-derebasinin-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-101/","684","149","4,591","34,212","Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/emre-gungorun-sps-senurdaki-robotic-system-developer-yolculugu-95/","585","140","4,179","32,815","Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/can-kalyoncuoglu-hayallerden-gerceklere-128/","525","136","3,860","34,039","Hard","Indexable",""
"https://unityverseacademy.com/blog/10/","419","140","2,993","41,664","Hard","Indexable",""
"https://unityverseacademy.com/urun/mimarlik-ic-mimarlik-icin-3d-tasarim-ve-gorsellestirme-egitimi-online-1549/","3021","740","4,082","43,517","Hard","Indexable",""
"https://unityverseacademy.com/urun/fen-bilimleri-egitimi-ozel-ders-1430/","422","130","3,246","45,968","Hard","Indexable",""
"https://unityverseacademy.com/urun/mimarlik-ic-mimarlik-icin-3d-tasarim-ve-gorsellestirme-egitimi-yuz-yuze-120-saat-1577/","2448","548","4,467","43,849","Hard","Indexable",""
"https://unityverseacademy.com/urun/yapay-zeka-destekli-unity-ile-oyun-gelistirme-egitimi-online-1682/","1413","322","4,388","35,097","Hard","Indexable",""
"https://unityverseacademy.com/urun/ic-mimarlik-ve-dekorasyon-egitimi-1132/","899","240","3,746","36,468","Hard","Indexable",""
"https://unityverseacademy.com/urun/autocad-elektrik-tesisat-projeleri-egitimi-yapi-denetim-odakli-1637/","923","241","3,830","33,931","Hard","Indexable",""
"https://unityverseacademy.com/urun/gelismis-autocad-elektrik-projeciligi-egitimi-yapi-denetim-odakli-uygulamali-1635/","989","242","4,087","31,434","Hard","Indexable",""
"https://unityverseacademy.com/urun/unreal-engine-ile-sanal-gerceklik-vr-ozel-ders-yuz-yuze-egitim-1337/","550","158","3,481","45,177","Hard","Indexable",""
"https://unityverseacademy.com/urun/zbrush-ile-kuyumculuk-ve-taki-tasarimi-egitimi-online-1536/","1427","333","4,285","37,910","Hard","Indexable",""
"https://unityverseacademy.com/urun/autocad-egitimi-1519/","813","227","3,581","37,850","Hard","Indexable",""
"https://unityverseacademy.com/urun/yapay-zeka-destekli-unity-ile-oyun-gelistirme-egitimi-yuz-yuze-1680/","1413","322","4,388","35,277","Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/zbrush-kursu-egitimi-296/","720","171","4,211","44,289","Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/semantik-teknoloji-depo-stok-takip-uygulamasi-tanitimi-251/","1007","227","4,436","36,157","Hard","Indexable",""
"https://unityverseacademy.com/urun/36-saat-kapsamli-zbrush-modelleme-egitimi-online-1540/","1589","375","4,237","36,954","Hard","Indexable",""
"https://unityverseacademy.com/urun/film-ve-animasyon-icin-storyboard-yuz-yuze-egitimi-ozel-ders-1287/","471","130","3,623","42,938","Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/substance-painter-egitimi-286/","723","167","4,329","44,825","Hard","Indexable",""
"https://unityverseacademy.com/urun/fizik-egitimi-ozel-ders-1429/","419","130","3,223","47,286","Hard","Indexable",""
"https://unityverseacademy.com/urun/zbrush-ile-kuyumculuk-ve-taki-tasarimi-egitimi-yuz-yuze-1535/","1435","337","4,258","37,322","Hard","Indexable",""
"https://unityverseacademy.com/urun/it-danismanlik-hizmeti-ozel-ders-1435/","427","129","3,310","49,729","Hard","Indexable",""
"https://unityverseacademy.com/urun/zbrush-ile-organik-modelleme-canli-online-ozel-ders-24-saat-1297/","593","157","3,777","34,372","Hard","Indexable",""
"https://unityverseacademy.com/urun/veri-yapilari-egitimi-ozel-ders-1433/","422","130","3,246","46,369","Hard","Indexable",""
"https://unityverseacademy.com/urun/zbrush-ile-organik-modelleme-canli-online-ozel-ders-1052/","569","143","3,979","36,570","Hard","Indexable",""
"https://unityverseacademy.com/urun/mimarlik-ic-mimarlik-icin-3d-tasarim-ve-gorsellestirme-egitimi-yuz-yuze-100-saat-1592/","1682","387","4,346","42,579","Hard","Indexable",""
