"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Indexability","Indexability Status"
"https://unityverseacademy.com/","2242","503","4,457","13,716","Very Hard","Indexable",""
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","2218","470","4,719","6,641","Very Hard","Indexable",""
"https://unityverseacademy.com/urun/desinatorluk-canli-online-egitimi-563/","3297","737","4,474","15,723","Very Hard","Indexable",""
"https://unityverseacademy.com/sayfa/uyelik-sozlesmesi-ve-gizlilik-politikasi-27/","4217","790","5,338","0,000","Very Hard","Indexable",""
"https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili-17/","4528","877","5,163","12,721","Very Hard","Indexable",""
"https://unityverseacademy.com/sayfa/hakkimizda-25/","926","208","4,452","2,328","Very Hard","Indexable",""
"https://unityverseacademy.com/urun/profesyonel-3b-modelleme-dijital-sanat-programi-online-1/","2580","551","4,682","7,338","Very Hard","Indexable",""
"https://unityverseacademy.com/urun/2b-cizgi-film-ve-animasyon-uzmanligi-canli-online-egitimi-565/","2502","522","4,793","5,483","Very Hard","Indexable",""
"https://unityverseacademy.com/blog-detay/burak-ercayanin-yazilim-test-otomasyonu-egitimi-ve-testiniumdaki-isi-88/","762","161","4,733","21,729","Very Hard","Indexable",""
"https://unityverseacademy.com/sayfa/kisisel-verilerin-korunmasi-hakkinda-aydinlatma-bildirimi-29/","2534","461","5,497","0,000","Very Hard","Indexable",""
"https://unityverseacademy.com/sayfa/mesafeli-satis-sozlesmesi-26/","3886","677","5,740","12,825","Very Hard","Indexable",""
"https://unityverseacademy.com/urun/2b-oyun-karakter-tasarimi-ve-animasyon-canli-online-egitimi-553/","2710","548","4,945","6,611","Very Hard","Indexable",""
"https://unityverseacademy.com/urun/grafik-tasarim-ve-video-efekt-uzmanligi-canli-online-egitimi-staj-garantili-564/","4367","964","4,530","11,320","Very Hard","Indexable",""
"https://unityverseacademy.com/urun/c-programlama-canli-online-egitimi-10/","2466","518","4,761","9,337","Very Hard","Indexable",""
"https://unityverseacademy.com/urun/grafik-tasarim-ve-video-efekt-uzmanligi-yuz-yuze-egitimi-staj-garantili-613/","3772","839","4,496","14,165","Very Hard","Indexable",""
"https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-yuz-yuze-egitimi-staj-garantili-598/","4467","870","5,134","12,973","Very Hard","Indexable",""
"https://unityverseacademy.com/urun/blender-3b-oyun-modelleme-canli-online-egitim-2/","2154","454","4,744","11,178","Very Hard","Indexable",""
"https://unityverseacademy.com/urun/yazilim-uzmanligi-yuz-yuze-egitimi-staj-garantili-669/","5084","1143","4,448","20,324","Very Hard","Indexable",""
"https://unityverseacademy.com/urun/yazilim-test-otomasyonu-egitimi-canli-online-egitimi-staj-garantili-7/","3974","763","5,208","8,271","Very Hard","Indexable",""
