"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://unityverseacademy.com/","4","En çok tercih edilen eğitimler","30","Eğitmenlerimiz","14","Indexable",""
"https://unityverseacademy.com/kategori/animasyon-egitimleri-248/","1","Animasyon Eğitimleri","20","","0","Indexable",""
"https://unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","1","Oyun Geliştirme Eğitimleri","26","","0","Indexable",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-259/","1","Mimarlık Eğitimleri","19","","0","Indexable",""
"https://unityverseacademy.com/blog-detay/suleyman-ozgonul-oyun-gelistiricilikte-zirveye-giden-yol-129/","1","Süleyman Özgönül: Oyun Geliştiricilikte Zirveye Giden Yol","57","","0","Indexable",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-ozel-ders-274/","1","Mimarlık Eğitimleri Özel Ders","29","","0","Indexable",""
"https://unityverseacademy.com/blog-detay/filiz-tumuklunun-yazilim-test-otomasyonu-egitimi-ve-kariyer-basarisi-90/","1","Filiz Tümüklü’nün Yazılım Test Otomasyonu Eğitimi ve Kariyer Başarısı","69","","0","Indexable",""
"https://unityverseacademy.com/kategori/dijital-pazarlama-egitimleri-255/","1","Dijital Pazarlama Eğitimleri","28","","0","Indexable",""
"https://unityverseacademy.com/kategori/ozel-dersler-256/","1","Özel Dersler","12","","0","Indexable",""
"https://unityverseacademy.com/blog-detay/burak-ercayanin-yazilim-test-otomasyonu-egitimi-ve-testiniumdaki-isi-88/","1","Burak Erçayan’ın Yazılım Test Otomasyonu Eğitimi ve Testinium’daki İşi","70","","0","Indexable",""
"https://unityverseacademy.com/blog-detay/elif-arslanin-yazilim-gelistirici-olarak-ayakkabi-dunyasindaki-baslangici-94/","1","Elif Arslan'ın Yazılım Geliştirici Olarak Ayakkabı Dünyası'ndaki Başlangıcı","75","","0","Indexable",""
"https://unityverseacademy.com/kategori/muhasebe-ve-ofis-egitimleri-258/","1","Muhasebe ve Ofis Eğitimleri","27","","0","Indexable",""
"https://unityverseacademy.com/blog-detay/oguzhan-durakin-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-100/","1","Oğuzhan Durak'ın Grafik Tasarım ve Video Kurgu Alanındaki Yolculuğu","67","","0","Indexable",""
"https://unityverseacademy.com/blog-detay/berkay-kurt-multiplayer-oyun-gelistiriciliginde-bir-yildiz-130/","1","Berkay Kurt: Multiplayer Oyun Geliştiriciliğinde Bir Yıldız","59","","0","Indexable",""
"https://unityverseacademy.com/blog-detay/fatih-yilmazin-yazilim-yolculugu-ve-lufthansadaki-basarisi-91/","1","Fatih Yılmaz’ın Yazılım Yolculuğu ve Lufthansa’daki Başarısı","60","","0","Indexable",""
"https://unityverseacademy.com/kategori/3d-modelleme-ozel-ders-273/","1","3D Modelleme Özel Ders","22","","0","Indexable",""
"https://unityverseacademy.com/tum-urunler/","1","Tüm Ürünler","11","","0","Indexable",""
"https://unityverseacademy.com/kategori/endustriyel-urun-tasarim-egitimleri-253/","1","Endüstriyel Ürün Tasarım Eğitimleri","35","","0","Indexable",""
"https://unityverseacademy.com/kategori/ses-tasarim-egitimleri-251/","1","Ses Tasarım Eğitimleri","22","","0","Indexable",""
"https://unityverseacademy.com/kategori/yazilim-egitimleri-ozel-ders-268/","1","Yazılım Eğitimleri Özel Ders","28","","0","Indexable",""
"https://unityverseacademy.com/blog/","1","Blog","4","","0","Indexable",""
"https://unityverseacademy.com/blog-detay/gorkem-tekinin-vakif-katilimdaki-backend-developer-yolculugu-96/","1","Görkem Tekin'in Vakıf Katılım'daki Backend Developer Yolculuğu","62","","0","Indexable",""
"https://unityverseacademy.com/kategori/grafik-tasarim-ozel-ders-269/","1","Grafik Tasarım Özel Ders","24","","0","Indexable",""
"https://unityverseacademy.com/blog-detay/begum-kiroglunun-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-98/","1","Begüm Kıroğlu'nun Grafik Tasarım ve Video Kurgu Alanındaki Yolculuğu","68","","0","Indexable",""
"https://unityverseacademy.com/kategori/dil-egitimleri-257/","1","Dil Eğitimleri","14","","0","Indexable",""
"https://unityverseacademy.com/blog-detay/suat-erizin-ayes-celikteki-yazilim-gelistirici-ve-kalite-kontrol-gorevi-97/","1","Suat Eriz'in AYES Çelik'teki Yazılım Geliştirici ve Kalite Kontrol Görevi","73","","0","Indexable",""
"https://unityverseacademy.com/kategori/grafik-tasarim-egitimleri-246/","1","Grafik - Tasarım Eğitimleri","27","","0","Indexable",""
"https://unityverseacademy.com/blog-detay/enes-bugra-cengizin-full-stack-developer-yolculugu-93/","1","Enes Buğra Cengiz'in Full Stack Developer Yolculuğu","51","","0","Indexable",""
"https://unityverseacademy.com/kategori/matematik-ozel-ders-267/","1","Matematik Özel Ders","19","","0","Indexable",""
"https://unityverseacademy.com/kategori/oyun-gelistirme-ozel-ders-272/","1","Oyun Geliştirme Özel Ders","25","","0","Indexable",""
"https://unityverseacademy.com/blog-detay/arda-bickinnin-yazilim-test-otomasyonu-egitimi-ve-testiniumdaki-staj-sureci-89/","1","Arda Biçkin’nin Yazılım Test Otomasyonu Eğitimi ve Testinium’daki Staj Süreci","77","","0","Indexable",""
