"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://unityverseacademy.com/","10","'","1","","0","Indexable",""
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","8","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı","45","Ne Öğreneceğim?","15","Indexable",""
"https://unityverseacademy.com/urun/desinatorluk-canli-online-egitimi-563/","22","Desinatörlük & Tekstil Desen Tasarım Kursu – Online Canlı Eğitim","64","Öğr. Gör. Nevin Eryılmaz'ın katıldığı programlardan bir kaçı:","61","Indexable",""
"https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili-17/","21","Unity ile Oyun Geliştirme Online Kursu – Staj Garantili C# Eğitimi","66","Ne Öğreneceğim?","15","Indexable",""
"https://unityverseacademy.com/sayfa/hakkimizda-25/","3","UNITYVERSE ACADEMY","18","Biz kimiz?","10","Indexable",""
"https://unityverseacademy.com/blog-detay/suleyman-ozgonul-oyun-gelistiricilikte-zirveye-giden-yol-129/","3","Süleyman Özgönül: Oyun Geliştiricilikte Zirveye Giden Yol","57","Unityverse Academy Farkı","24","Indexable",""
"https://unityverseacademy.com/urun/profesyonel-3b-modelleme-dijital-sanat-programi-online-1/","14","Profesyonel 3D Modelleme ve Dijital Sanat Uzmanlık Programı – 3D Generalist Yetiştirme (Online)","95","Profesyonel 3B Modelleme & Dijital Sanat Programı","49","Indexable",""
"https://unityverseacademy.com/urun/2b-cizgi-film-ve-animasyon-uzmanligi-canli-online-egitimi-565/","18","2B Çizgi Film ve Animasyon Uzmanlığı Eğitimi Eğitmen: Nevin Eryılmaz (CV için tıklayınız.) Nevin Eryılmaz, geleneksel ve dijital tasarım alanlarındaki 20 yılı aşkın sektör deneyimi yanı sıra, İstinye Üniversitesi'nde Bilgisayar Destekli Tasarım ve Animasyon önlisans ve Dijital Oyun Tasarımı lisans programlarının kurucusudur. Üniversitenin Dijital Oyun Tasarımı bölümündeki tasarım ve yazılım merkezli eğitim anlayışının öncüsü olmakla beraber, 2021 yılında aynı üniversitede Türkiye'nin ilk YÖK onaylı Dijital Oyun Araştırma Merkezi olan Dijital Oyun Geliştirme ve Animasyon Araştırma Uygulama Merkezi'ni kurmuştur ve iki sene boyunca Merkez Müdürü olarak görev almıştır. Merkez'de üniversitenin Animasyon ve Dijital Oyun Tasarımı programlarındaki öğrencilerin kendi oyunlarını geliştirerek oyun marketlerinde yayınlaması ve ticarileşmeleri desteklenmiştir. Eryılmaz'ın sektör ve akademi deneyimli kadrosunun etkisi ile, İstinye Üniversitesi Dijital Oyun Tasarımı bölümü iki senede Türkiye'nin ilk tercih edilen 3 üniversitesi arasına yerleşmiştir. Eryılmaz'ın Milli Eğitim Bakanlığı ve çeşitli dijital oyun şirketleri ortaklığında gerçekleşen proje ve çalışmaları devam etmektedir.","1184","Öğr. Gör. Nevin Eryılmaz'ın katıldığı programlardan bir kaçı:","61","Indexable",""
"https://unityverseacademy.com/urun/2b-oyun-karakter-tasarimi-ve-animasyon-canli-online-egitimi-553/","28","2B Oyun Karakter Tasarımı ve Animasyon Eğitimi Eğitmen: Nevin Eryılmaz (CV için tıklayınız.) Nevin Eryılmaz, geleneksel ve dijital tasarım alanlarındaki 20 yılı aşkın sektör deneyimi yanı sıra, İstinye Üniversitesi'nde Bilgisayar Destekli Tasarım ve Animasyon önlisans ve Dijital Oyun Tasarımı lisans programlarının kurucusudur. Üniversitenin Dijital Oyun Tasarımı bölümündeki tasarım ve yazılım merkezli eğitim anlayışının öncüsü olmakla beraber, 2021 yılında aynı üniversitede Türkiye'nin ilk YÖK onaylı Dijital Oyun Araştırma Merkezi olan Dijital Oyun Geliştirme ve Animasyon Araştırma Uygulama Merkezi'ni kurmuştur ve iki sene boyunca Merkez Müdürü olarak görev almıştır. Merkez'de üniversitenin Animasyon ve Dijital Oyun Tasarımı programlarındaki öğrencilerin kendi oyunlarını geliştirerek oyun marketlerinde yayınlaması ve ticarileşmeleri desteklenmiştir. Eryılmaz'ın sektör ve akademi deneyimli kadrosunun etkisi ile, İstinye Üniversitesi Dijital Oyun Tasarımı bölümü iki senede Türkiye'nin ilk tercih edilen 3 üniversitesi arasına yerleşmiştir. Eryılmaz'ın Milli Eğitim Bakanlığı ve çeşitli dijital oyun şirketleri ortaklığında gerçekleşen proje ve çalışmaları devam etmektedir.","1186","Öğr. Gör. Nevin Eryılmaz'ın katıldığı programlardan bir kaçı:","61","Indexable",""
"https://unityverseacademy.com/blog-detay/berkay-kurt-multiplayer-oyun-gelistiriciliginde-bir-yildiz-130/","3","Berkay Kurt: Multiplayer Oyun Geliştiriciliğinde Bir Yıldız LinkedIn hesabı için buraya tıklayınız.","99","Unityverse Academy Farkı","24","Indexable",""
"https://unityverseacademy.com/blog/","12","Dijital Oyun Tasarımı Bölümü, Bilgiyi Ticarileştirme Merkezi İş Birliğiyle LootJam Gerçekleştirdi","97","Aranan 3D Artist Olma: Yaratıcı Yeteneğinizi Zirveye Taşıyın","60","Indexable",""
"https://unityverseacademy.com/urun/grafik-tasarim-ve-video-efekt-uzmanligi-canli-online-egitimi-staj-garantili-564/","29","Grafik Tasarım Kursu & Video Efekt Uzmanlığı Online Eğitimi – Staj Garantili","76","","0","Indexable",""
"https://unityverseacademy.com/urun/c-programlama-canli-online-egitimi-10/","8","C# (C Sharp) Programlama Online Kursu – Sıfırdan .NET Eğitimi","61","C# Kursu | Ne Öğreneceğim?","26","Indexable",""
"https://unityverseacademy.com/urun/dijital-oyun-muzigi-teknikleri-canli-online-egitimi-650/","3","Eğitimimizden kareler:","22","IMG_50372.jpg","13","Indexable",""
"https://unityverseacademy.com/urun/grafik-tasarim-ve-video-efekt-uzmanligi-yuz-yuze-egitimi-staj-garantili-613/","29","Grafik Tasarım Kursu & Video Efekt Uzmanlığı Yüz Yüze Eğitimi – Staj Garantili","78","","0","Indexable",""
"https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-yuz-yuze-egitimi-staj-garantili-598/","22","Unity Oyun Geliştirme Yüz Yüze Kursu – Staj Garantili Sınıf Eğitimi","67","Ne Öğreneceğim?","15","Indexable",""
"https://unityverseacademy.com/urun/blender-3b-oyun-modelleme-canli-online-egitim-2/","21","Blender ile 3D Oyun Modelleme Kursu – Karakter, Prop ve Çevre Asset Geliştirme (Online Canlı)","93","Ne Öğreneceğim?","15","Indexable",""
