"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://unityverseacademy.com/","1","En iyi Staj garantili yazılım, oyun, uygulama geliştirme, grafik tasarım, siber güvenlik eğitimleri,  E-devlet ve uluslararası sertifikalarla meslek kursları","157","892","Indexable",""
"https://unityverseacademy.com/kategori/animasyon-egitimleri-248/","1","Animasyon Eğitimleri","20","130","Indexable",""
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","1","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Canlı (Online) Eğitimi, katılımcılara endüstriyel ürünlerin tasarımı, geliştirilmesi ve üretim aşamalarına uygun şekilde projeler oluşturma yeteneği kazandırır. Bu eğitimd","227","1371","Indexable",""
"https://unityverseacademy.com/urun/desinatorluk-canli-online-egitimi-563/","1","Desinatörlük ve tekstil desen tasarım canlı online kursu. Evinizden baskı desen ve kumaş tasarımı öğrenin!","106","648","Indexable",""
"https://unityverseacademy.com/sayfa/iptal-ve-iade-kosullari-28/","1","İptal ve İade Koşulları","23","132","Indexable",""
"https://unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","1","Oyun sektörü hızla büyüyor. Eğer sende bu büyümeye ayak uydurmak istiyorsan bizimle hemen iletişime geç.","104","666","Indexable",""
"https://unityverseacademy.com/sayfa/uyelik-sozlesmesi-ve-gizlilik-politikasi-27/","1","Üyelik Sözleşmesi ve Gizlilik Politikası","40","226","Indexable",""
"https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili-17/","1","Staj garantili Unity oyun geliştirme online kursu. Canlı derslerle C# programlama ve Unity ile 2D/3D oyun geliştirmeyi öğrenin. Hemen kayıt olun!","145","876","Indexable",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-259/","1","Mimarlık Eğitimleri","19","113","Indexable",""
"https://unityverseacademy.com/sayfa/hakkimizda-25/","1","HAKKIMIZDA","10","83","Indexable",""
"https://unityverseacademy.com/blog-detay/suleyman-ozgonul-oyun-gelistiricilikte-zirveye-giden-yol-129/","1","Süleyman Özgönül: Oyun Geliştiricilikte Zirveye Giden Yol","57","347","Indexable",""
"https://unityverseacademy.com/urun/profesyonel-3b-modelleme-dijital-sanat-programi-online-1/","1","Profesyonel 3D modelleme ve dijital sanat kapsamlı online programı. 3D generalist olarak sektöre hazırlanın!","108","662","Indexable",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-ozel-ders-274/","1","Mimarlık Eğitimleri Özel Ders, Özel Dersler","43","253","Indexable",""
"https://unityverseacademy.com/blog-detay/filiz-tumuklunun-yazilim-test-otomasyonu-egitimi-ve-kariyer-basarisi-90/","1","Filiz Tümüklü’nün Yazılım Test Otomasyonu Eğitimi ve Kariyer Başarısı","69","431","Indexable",""
"https://unityverseacademy.com/kategori/dijital-pazarlama-egitimleri-255/","1","Dijital Pazarlama Eğitimleri","28","165","Indexable",""
"https://unityverseacademy.com/kategori/ozel-dersler-256/","1","Özel Dersler","12","73","Indexable",""
"https://unityverseacademy.com/urun/2b-cizgi-film-ve-animasyon-uzmanligi-canli-online-egitimi-565/","1","2B Çizgi Film ve Animasyon Uzmanlığı Canlı (Online) Eğitimi, katılımcılara 2D animasyonun temellerini öğretirken, yaratıcı ve teknik becerilerini geliştirmelerine yardımcı olan kapsamlı bir eğitim programıdır. Bu eğitimde, 2B animasyo","234","1407","Indexable",""
"https://unityverseacademy.com/os/KARIYER-14/","1","KARIYER","7","56","Non-Indexable","Canonicalised"
"https://unityverseacademy.com/blog-detay/burak-ercayanin-yazilim-test-otomasyonu-egitimi-ve-testiniumdaki-isi-88/","1","Burak Erçayan’ın Yazılım Test Otomasyonu Eğitimi ve Testinium’daki İşi","70","438","Indexable",""
