"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://unityverseacademy.com/kategori/animasyon-egitimleri-248/","1","Animasyon Eğitimleri","20","130","Indexable",""
"https://unityverseacademy.com/sayfa/iptal-ve-iade-kosullari-28/","1","İptal ve İade Koşulları","23","132","Indexable",""
"https://unityverseacademy.com/sayfa/uyelik-sozlesmesi-ve-gizlilik-politikasi-27/","1","Üyelik Sözleşmesi ve Gizlilik Politikası","40","226","Indexable",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-259/","1","Mimarlık Eğitimleri","19","113","Indexable",""
"https://unityverseacademy.com/sayfa/hakkimizda-25/","1","HAKKIMIZDA","10","83","Indexable",""
"https://unityverseacademy.com/blog-detay/suleyman-ozgonul-oyun-gelistiricilikte-zirveye-giden-yol-129/","1","Süleyman Özgönül: Oyun Geliştiricilikte Zirveye Giden Yol","57","347","Indexable",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-ozel-ders-274/","1","Mimarlık Eğitimleri Özel Ders, Özel Dersler","43","253","Indexable",""
"https://unityverseacademy.com/blog-detay/filiz-tumuklunun-yazilim-test-otomasyonu-egitimi-ve-kariyer-basarisi-90/","1","Filiz Tümüklü’nün Yazılım Test Otomasyonu Eğitimi ve Kariyer Başarısı","69","431","Indexable",""
"https://unityverseacademy.com/kategori/dijital-pazarlama-egitimleri-255/","1","Dijital Pazarlama Eğitimleri","28","165","Indexable",""
"https://unityverseacademy.com/kategori/ozel-dersler-256/","1","Özel Dersler","12","73","Indexable",""
"https://unityverseacademy.com/sayfa/kisisel-verilerin-korunmasi-hakkinda-aydinlatma-bildirimi-29/","1","Kişisel Verilerin Korunması Hakkında Aydınlatma Bildirimi","57","351","Indexable",""
"https://unityverseacademy.com/blog-detay/elif-arslanin-yazilim-gelistirici-olarak-ayakkabi-dunyasindaki-baslangici-94/","1","Elif Arslan","11","62","Indexable",""
"https://unityverseacademy.com/kategori/muhasebe-ve-ofis-egitimleri-258/","1","Muhasebe ve Ofis Eğitimleri","27","170","Indexable",""
"https://unityverseacademy.com/blog-detay/oguzhan-durakin-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-100/","1","Oğuzhan Durak","13","97","Indexable",""
"https://unityverseacademy.com/sayfa/mesafeli-satis-sozlesmesi-26/","1","Mesafeli Satış Sözleşmesi","25","158","Indexable",""
"https://unityverseacademy.com/blog-detay/berkay-kurt-multiplayer-oyun-gelistiriciliginde-bir-yildiz-130/","1","Berkay Kurt: Multiplayer Oyun Geliştiriciliğinde Bir Yıldız","59","338","Indexable",""
"https://unityverseacademy.com/blog-detay/fatih-yilmazin-yazilim-yolculugu-ve-lufthansadaki-basarisi-91/","1","Fatih Yılmaz’ın Yazılım Yolculuğu ve Lufthansa’daki Başarısı","60","368","Indexable",""
"https://unityverseacademy.com/kategori/3d-modelleme-ozel-ders-273/","1","3D Modelleme Özel Ders, Özel Dersler","36","227","Indexable",""
"https://unityverseacademy.com/tum-urunler/","1","Tüm Ürünler","11","76","Indexable",""
"https://unityverseacademy.com/kategori/endustriyel-urun-tasarim-egitimleri-253/","1","Endüstriyel Ürün Tasarım Eğitimleri","35","216","Indexable",""
"https://unityverseacademy.com/kategori/ses-tasarim-egitimleri-251/","1","Ses Tasarım Eğitimleri","22","136","Indexable",""
"https://unityverseacademy.com/kategori/yazilim-egitimleri-ozel-ders-268/","1","Yazılım Eğitimleri Özel Ders, Özel Dersler","42","244","Indexable",""
"https://unityverseacademy.com/blog/","1","Blog","4","28","Indexable",""
"https://unityverseacademy.com/blog-detay/gorkem-tekinin-vakif-katilimdaki-backend-developer-yolculugu-96/","1","Görkem Tekin","12","85","Indexable",""
"https://unityverseacademy.com/kategori/grafik-tasarim-ozel-ders-269/","1","Grafik Tasarım Özel Ders, Özel Dersler","38","232","Indexable",""
"https://unityverseacademy.com/blog-detay/begum-kiroglunun-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-98/","1","Begüm Kıroğlu","13","91","Indexable",""
"https://unityverseacademy.com/kategori/dil-egitimleri-257/","1","Dil Eğitimleri","14","75","Indexable",""
"https://unityverseacademy.com/blog-detay/suat-erizin-ayes-celikteki-yazilim-gelistirici-ve-kalite-kontrol-gorevi-97/","1","Suat Eriz","9","55","Indexable",""
"https://unityverseacademy.com/kategori/grafik-tasarim-egitimleri-246/","1","Grafik - Tasarım Eğitimleri","27","159","Indexable",""
"https://unityverseacademy.com/blog-detay/enes-bugra-cengizin-full-stack-developer-yolculugu-93/","1","Enes Buğra Cengiz","17","116","Indexable",""
"https://unityverseacademy.com/kategori/matematik-ozel-ders-267/","1","Matematik Özel Ders, Özel Dersler","33","207","Indexable",""
"https://unityverseacademy.com/kategori/oyun-gelistirme-ozel-ders-272/","1","Oyun Geliştirme Özel Ders, Özel Dersler","39","238","Indexable",""
"https://unityverseacademy.com/blog-detay/osman-derebasinin-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-101/","1","Osman Derebaşı","14","102","Indexable",""
"https://unityverseacademy.com/kategori/senaryo-sinema-ve-yonetmenlik-egitimleri-252/","1","Senaryo, Sinema ve Yönetmenlik Eğitimleri","41","259","Indexable",""
"https://unityverseacademy.com/kategori/staj-garantili-egitimler-266/","1","Staj Garantili Eğitimler, Yazılım Eğitimleri","44","247","Indexable",""
"https://unityverseacademy.com/blog-detay/emre-gungorun-sps-senurdaki-robotic-system-developer-yolculugu-95/","1","Emre Güngör","11","82","Indexable",""
"https://unityverseacademy.com/blog-detay/can-kalyoncuoglu-hayallerden-gerceklere-128/","1","Can Kalyoncuoğlu: Hayallerden Gerçeklere","40","261","Indexable",""
"https://unityverseacademy.com/blog/10/","1","ÇALIŞMA HAYATINA ATILAN MEZUNLARIMIZIN BAŞARI HİKAYELERİ","56","429","Indexable",""
"https://unityverseacademy.com/os/kariyer-is-14/","1","KARIYER","7","56","Indexable",""
"https://unityverseacademy.com/blog-detay/zbrush-kursu-egitimi-296/","1","zbrush eğitimi tanıtım yazısı","29","172","Indexable",""
"https://unityverseacademy.com/blog-detay/semantik-teknoloji-depo-stok-takip-uygulamasi-tanitimi-251/","1","Semantik Teknoloji Depo Stok Takibi Uygulaması Tanıtımı","55","351","Indexable",""
"https://unityverseacademy.com/blog-detay/substance-painter-egitimi-286/","1","Substance Painter Eğitimi Bilgilendirmesi","41","251","Indexable",""
"https://unityverseacademy.com/blog-detay/3b-modelleme-egitimleri-zbrush-ileri-seviye-284/","1","Zbrush Eğitimi Tanıtımı","23","142","Indexable",""
"https://unityverseacademy.com/blog-detay/blender-egitimi-3d-modelleme-animasyon-ve-render-rehberi-280/","1","blender eğitimi kursu tanıtımı","30","178","Indexable",""
"https://unityverseacademy.com/blog-detay/3dsmax-kursu-294/","1","3dsmax eğitimi bilgilendirme yazısı","35","213","Indexable",""
"https://unityverseacademy.com/blog-detay/blender-egitimi-blender-profesyonel-kullanim-rehberi-308/","1","Blender Eğitimi Tanıtım Yazısı","30","181","Indexable",""
"https://unityverseacademy.com/blog-detay/maya-egitimi-285/","1","Maya eğitimi tanıtımı","21","129","Indexable",""
"https://unityverseacademy.com/blog-detay/3ds-max-egitimi-uv-mapping-ve-kaplama-yonetimi-305/","1","3DS Max Eğitimi Tanıtımı","24","153","Indexable",""
