"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://unityverseacademy.com/","1","En iyi Staj garantili yazılım, oyun, uygulama geliştirme, grafik tasarım, siber güvenlik eğitimleri,  E-devlet ve uluslararası sertifikalarla meslek kursları","157","892","Indexable",""
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","1","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Canlı (Online) Eğitimi, katılımcılara endüstriyel ürünlerin tasarımı, geliştirilmesi ve üretim aşamalarına uygun şekilde projeler oluşturma yeteneği kazandırır. Bu eğitimd","227","1371","Indexable",""
"https://unityverseacademy.com/urun/2b-cizgi-film-ve-animasyon-uzmanligi-canli-online-egitimi-565/","1","2B Çizgi Film ve Animasyon Uzmanlığı Canlı (Online) Eğitimi, katılımcılara 2D animasyonun temellerini öğretirken, yaratıcı ve teknik becerilerini geliştirmelerine yardımcı olan kapsamlı bir eğitim programıdır. Bu eğitimde, 2B animasyo","234","1407","Indexable",""
"https://unityverseacademy.com/urun/2b-oyun-karakter-tasarimi-ve-animasyon-canli-online-egitimi-553/","1","2B Oyun Karakter Tasarımı ve Animasyon Canlı (Online) Eğitimi, oyun geliştirme ve animasyon alanlarında kariyer yapmak isteyenler için kapsamlı bir eğitim programıdır. Bu eğitim, katılımcılara 2B oyun karakterlerinin tasarımını ve animas","237","1452","Indexable",""
"https://unityverseacademy.com/urun/dijital-oyun-muzigi-teknikleri-canli-online-egitimi-650/","1","Dijital Oyun Müziği Teknikleri Canlı (Online) Eğitimi, oyun geliştiricileri ve müzik prodüktörleri için özel olarak tasarlanmış bir eğitimdir. Oyun müziklerinin yaratılması, düzenlenmesi ve oyun içindeki atmosferle uyumlu hale getirilmes","237","1396","Indexable",""
"https://unityverseacademy.com/kategori/yazilim-egitimleri-245/","1","Aranan Programcı Olma,Python, Java, C#, c sharp, mobil, mobil uygulama, uygulama geliştirme, kodlama, yazılım, Yazılım Uzmanlığı, C Sharp Programlama, Yazılım Kalitesi ve Testi, yazılım kalitesi, yazılım testi, tester, Software Quality a","237","1439","Indexable",""
"https://unityverseacademy.com/urun/rhino-egitimi-24-saat-online-ozel-ders-1131/","1","Rhino Eğitimi, 3D modelleme ve tasarım süreçlerinde yaygın olarak kullanılan güçlü bir yazılım olan Rhino’yu öğrenmek isteyenler için kapsamlı bir eğitim programıdır. Rhino, özellikle endüstriyel tasarım, mimarlık, iç mimarlık ve","229","1370","Indexable",""
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-yuz-yuze-ozel-ders-20-saat-1591/","1","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Yüz Yüze Özel Ders 20 saat ürünü, özellikleri ve en uygun fiyatları Unityverse Academy da. Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Yüz Yüze Özel Ders 20 saat, Animasyon Eğitimleri kategorisinde.","266","1665","Indexable",""
"https://unityverseacademy.com/urun/mimarlik-ic-mimarlik-icin-3d-tasarim-ve-gorsellestirme-egitimi-online-1549/","1","Mimarlık & İç Mimarlık için 3D Tasarım ve Görselleştirme Eğitimi Online ürünü, özellikleri ve en uygun fiyatları Unityverse Academy da. Mimarlık & İç Mimarlık için 3D Tasarım ve Görselleştirme Eğitimi Online, Mimarlık Eğitimleri kategorisinde.","243","1452","Indexable",""
"https://unityverseacademy.com/urun/fen-bilimleri-egitimi-ozel-ders-1430/","1","Fen Bilimleri Eğitimi Özel Ders ürünü, özellikleri ve en uygun fiyatları Unityverse Academy da. Fen Bilimleri Eğitimi Özel Ders, Özel Dersler kategorisinde.","156","914","Indexable",""
