"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://unityverseacademy.com/kategori/animasyon-egitimleri-248/","1","Animasyon Eğitimleri","20","189","Indexable",""
"https://unityverseacademy.com/sayfa/iptal-ve-iade-kosullari-28/","1","İptal ve İade Koşulları","23","191","Indexable",""
"https://unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","1","Oyun Geliştirme Eğitimleri","26","233","Indexable",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-259/","1","Mimarlık Eğitimleri","19","168","Indexable",""
"https://unityverseacademy.com/sayfa/hakkimizda-25/","1","Hakkımızda","10","105","Indexable",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-ozel-ders-274/","1","Mimarlık Eğitimleri Özel Ders","29","259","Indexable",""
"https://unityverseacademy.com/kategori/dijital-pazarlama-egitimleri-255/","1","Dijital Pazarlama Eğitimleri","28","243","Indexable",""
"https://unityverseacademy.com/kategori/ozel-dersler-256/","1","Özel Dersler","12","109","Indexable",""
"https://unityverseacademy.com/kategori/muhasebe-ve-ofis-egitimleri-258/","1","Muhasebe ve Ofis Eğitimleri","27","250","Indexable",""
"https://unityverseacademy.com/sayfa/mesafeli-satis-sozlesmesi-26/","1","Mesafeli Satış Sözleşmesi","25","235","Indexable",""
"https://unityverseacademy.com/kategori/3d-modelleme-ozel-ders-273/","1","3D Modelleme Özel Ders","22","220","Indexable",""
"https://unityverseacademy.com/tum-urunler/","1","Tüm Ürünler","11","111","Indexable",""
"https://unityverseacademy.com/kategori/yazilim-egitimleri-ozel-ders-268/","1","Yazılım Eğitimleri Özel Ders","28","247","Indexable",""
"https://unityverseacademy.com/blog/","1","Blog","4","39","Indexable",""
"https://unityverseacademy.com/kategori/grafik-tasarim-ozel-ders-269/","1","Grafik Tasarım Özel Ders","24","224","Indexable",""
"https://unityverseacademy.com/kategori/dil-egitimleri-257/","1","Dil Eğitimleri","14","113","Indexable",""
"https://unityverseacademy.com/kategori/grafik-tasarim-egitimleri-246/","1","Grafik - Tasarım Eğitimleri","27","234","Indexable",""
"https://unityverseacademy.com/kategori/matematik-ozel-ders-267/","1","Matematik Özel Ders","19","188","Indexable",""
"https://unityverseacademy.com/kategori/oyun-gelistirme-ozel-ders-272/","1","Oyun Geliştirme Özel Ders","25","234","Indexable",""
"https://unityverseacademy.com/kategori/yazilim-egitimleri-245/","1","Yazılım  Eğitimleri","19","156","Indexable",""
"https://unityverseacademy.com/kategori/3d-modelleme-egitimleri-247/","1","3B Modelleme Eğitimleri","23","218","Indexable",""
"https://unityverseacademy.com/urun/rhino-egitimi-24-saat-online-ozel-ders-1131/","1","Rhino Eğitimi","13","117","Indexable",""
"https://unityverseacademy.com/urun/revit-egitimi-yuz-yuze-1581/","1","Revit Eğitimi","13","112","Indexable",""
"https://unityverseacademy.com/os/kariyer-is-14/","1","KARIYER iŞ","10","100","Indexable",""
"https://unityverseacademy.com/urun/rhino-egitimi-40-saat-online-1507/","1","Rhino Eğitimi 40 Saat Online","28","252","Indexable",""
"https://unityverseacademy.com/urun/almanca-egitimi-ozel-ders-1440/","1","Almanca Eğitimi Özel Ders","25","237","Indexable",""
"https://unityverseacademy.com/urun/autocad-egitimi-1519/","1","AutoCAD Eğitimi","15","148","Indexable",""
"https://unityverseacademy.com/urun/ispanyolca-egitimi-ozel-ders-1441/","1","İspanyolca Eğitimi Özel Ders","28","252","Indexable",""
"https://unityverseacademy.com/urun/microsoft-office-egitimi-1123/","1","Microsoft Office Eğitimi","24","211","Indexable",""
"https://unityverseacademy.com/blog-detay/zbrush-kursu-egitimi-296/","1","Zbrush Kursu Eğitimi","20","186","Indexable",""
"https://unityverseacademy.com/urun/lumion-egitimi-1130/","1","Lumion Eğitimi","14","134","Indexable",""
"https://unityverseacademy.com/urun/film-ve-animasyon-icin-storyboard-yuz-yuze-egitimi-ozel-ders-1287/","1","Storyboard Yüz Yüze Eğitimi","27","251","Indexable",""
"https://unityverseacademy.com/blog-detay/substance-painter-egitimi-286/","1","Substance Painter Eğitimi","25","231","Indexable",""
"https://unityverseacademy.com/urun/fizik-egitimi-ozel-ders-1429/","1","Fizik Eğitimi  Özel Ders","24","199","Indexable",""
"https://unityverseacademy.com/urun/ingilizce-egitimi-ozel-ders-1442/","1","İngilizce Eğitimi Özel Ders","27","231","Indexable",""
"https://unityverseacademy.com/urun/film-ve-animasyon-icin-storyboard-yuz-yuze-egitimi-599/","1","Storyboard Yüz Yüze Eğitimi","27","251","Indexable",""
"https://unityverseacademy.com/urun/turkce-egitimi-ozel-ders-1438/","1","Türkçe Eğitimi Özel Ders","24","219","Indexable",""
"https://unityverseacademy.com/urun/3ds-max-egitimi-10-saat-ozel-ders-1446/","1","3Ds Max Eğitimi","15","144","Indexable",""
"https://unityverseacademy.com/urun/proje-yonetimi-egitimi-1126/","1","Proje Yönetimi Eğitimi","22","199","Indexable",""
"https://unityverseacademy.com/blog-detay/3dsmax-kursu-294/","1","3DSMax Kursu","12","131","Indexable",""
"https://unityverseacademy.com/urun/3ds-max-egitimi-30-saat-ozel-ders-1128/","1","3Ds Max Eğitimi","15","144","Indexable",""
"https://unityverseacademy.com/urun/bilgisayarli-muhasebe-egitimi-10-saat-1125/","1","Bilgisayarlı Muhasebe Eğitimi","29","261","Indexable",""
"https://unityverseacademy.com/urun/egitim-koclugu-ozel-ders-1439/","1","Eğitim Koçluğu Özel Ders","24","225","Indexable",""
"https://unityverseacademy.com/urun/matematik-egitimi-ozel-ders-1428/","1","Matematik Eğitimi Özel Ders","27","255","Indexable",""
"https://unityverseacademy.com/blog-detay/maya-egitimi-285/","1","Maya Eğitimi","12","115","Indexable",""
"https://unityverseacademy.com/urun/revit-egitimi-online-1129/","1","Revit Eğitimi","13","112","Indexable",""
