"Address","Content Type","Size (Bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://unityverseacademy.com/uploads/fm/image81.png","image/png","93506","3","Indexable","",""
"https://unityverseacademy.com/uploads/fm/image80.png","image/png","46124","3","Indexable","",""
"https://unityverseacademy.com/uploads/fm/WhatsApp_Image_2022-08-10_at_11_30_53_(3).jpg","image/jpeg","177619","1","Indexable","",""
"https://unityverseacademy.com/uploads/fm/WhatsApp_Image_2023-03-21_at_09_54_092.jpg","image/jpeg","144400","7","Indexable","",""
"https://unityverseacademy.com/uploads/fm/WhatsApp_Image_2022-08-10_at_11_30_53.jpg","image/jpeg","296912","1","Indexable","",""
"https://unityverseacademy.com/uploads/fm/WhatsApp_Image_2023-03-21_at_10_32_09.jpg","image/jpeg","91097","7","Indexable","",""
"https://unityverseacademy.com/uploads/fm/WhatsApp_Image_2022-08-10_at_11_30_59_(3).jpg","image/jpeg","429532","1","Indexable","",""
"https://unityverseacademy.com/uploads/fm/WhatsApp_Image_2022-08-10_at_11_30_58.jpg","image/jpeg","503300","1","Indexable","",""
"https://unityverseacademy.com/uploads/fm/Ekran_görüntüsü_2023-03-21_102640.png","image/png","706061","7","Indexable","",""
"https://unityverseacademy.com/uploads/fm/Ekran_görüntüsü_2023-03-21_182555.png","image/png","394425","7","Indexable","",""
"https://unityverseacademy.com/uploads/fm/Ekran_görüntüsü_2023-03-21_104838.png","image/png","1468478","7","Indexable","",""
"https://unityverseacademy.com/uploads/fm/WhatsApp_Image_2022-08-10_at_11_30_54_(1).jpg","image/jpeg","206517","1","Indexable","",""
"https://unityverseacademy.com/uploads/p/o/CLDIvixRzArT.png?v=1731497148","image/png","213577","21","Indexable","",""
