"Address","Content Type","Size (Bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://unityverseacademy.com/uploads/fm/WhatsApp_Image_2025-02-20_at_16_28_2714.jpg","image/jpeg","162245","1","Indexable","",""
"https://unityverseacademy.com/uploads/fm/IMG_503723.jpg","image/jpeg","79814","10","Indexable","",""
"https://unityverseacademy.com/uploads/fm/IMG_511523.jpg","image/jpeg","111709","10","Indexable","",""
"https://unityverseacademy.com/uploads/fm/IMG_51482.jpg","image/jpeg","57754","12","Indexable","",""
"https://unityverseacademy.com/uploads/fm/WhatsApp_Image_2025-02-25_at_12_02_26_(1)1.jpg","image/jpeg","114081","1","Indexable","",""
"https://unityverseacademy.com/uploads/fm/IMG_492032.jpg","image/jpeg","91267","11","Indexable","",""
"https://unityverseacademy.com/uploads/fm/IMG_50236.jpg","image/jpeg","80961","10","Indexable","",""
"https://unityverseacademy.com/uploads/fm/OYUN_ÖRNEK_SERTİFİKA25.jpg","image/jpeg","162482","10","Indexable","",""
"https://unityverseacademy.com/uploads/fm/IMG_587153.jpg","image/jpeg","80270","10","Indexable","",""
"https://unityverseacademy.com/uploads/fm/IMG_510321.jpg","image/jpeg","110921","12","Indexable","",""
"https://unityverseacademy.com/uploads/fm/dijital_oyun_geliştirme_(1)26.jpg","image/jpeg","84932","10","Indexable","",""
"https://unityverseacademy.com/uploads/fm/oyun_site_konulcak123.jpg","image/jpeg","77659","10","Indexable","",""
"https://unityverseacademy.com/uploads/fm/projegeliştirmeai21.png","image/png","104500","1","Indexable","",""
"https://unityverseacademy.com/uploads/fm/IMG_512313.jpg","image/jpeg","59800","10","Indexable","",""
"https://unityverseacademy.com/uploads/fm/IMG_510322.jpg","image/jpeg","110921","10","Indexable","",""
"https://unityverseacademy.com/uploads/fm/IMG_508921.jpg","image/jpeg","115759","10","Indexable","",""
"https://unityverseacademy.com/uploads/fm/projegeliştirmeai232.png","image/png","104500","10","Indexable","",""
"https://unityverseacademy.com/uploads/fm/Unity_Certified_User_Prog_Logo3.png","image/png","146606","10","Indexable","",""
"https://unityverseacademy.com/uploads/fm/WhatsApp_Image_2025-02-20_at_17_31_198.jpg","image/jpeg","165966","1","Indexable","",""
"https://unityverseacademy.com/uploads/fm/IMG_504523.jpg","image/jpeg","124548","11","Indexable","",""
"https://unityverseacademy.com/uploads/fm/WhatsApp_Görsel_2025-09-23_saat_14_40_10_b4a342a21.jpg","image/jpeg","230544","2","Indexable","",""
