"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://unityverseacademy.com/uploads/p/p/s/2024-python-bootcamp-sifirdan-python-canli-online-egitimi_2.jpeg?v=1713608100","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","54639","54639","54639","8,097","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,072","Wed, 17 Jun 2026 19:04:47 GMT","","","","","1.1","","","","","","https://unityverseacademy.com/uploads/p/p/s/2024-python-bootcamp-sifirdan-python-canli-online-egitimi_2.jpeg?v=1713608100","2026-07-30 13:41:01"
"https://unityverseacademy.com/uploads/p/cd/9svlyhQm8Piz.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","2865","2865","2865","0,425","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,196","Thu, 18 Jun 2026 12:21:14 GMT","","","","","1.1","","","","","","https://unityverseacademy.com/uploads/p/cd/9svlyhQm8Piz.png","2026-07-30 13:41:00"
"https://unityverseacademy.com/uploads/p/cd/cMZ1zkyvfF2P.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","2004","2004","2004","0,297","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,200","Thu, 18 Jun 2026 12:21:14 GMT","","","","","1.1","","","","","","https://unityverseacademy.com/uploads/p/cd/cMZ1zkyvfF2P.png","2026-07-30 13:41:01"
"https://unityverseacademy.com/uploads/p/p/s/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi_1.jpg?v=1762940099","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","36817","36817","36817","5,456","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,271","Wed, 17 Jun 2026 19:04:47 GMT","","","","","1.1","","","","","","https://unityverseacademy.com/uploads/p/p/s/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi_1.jpg?v=1762940099","2026-07-30 13:41:01"
"https://unityverseacademy.com/uploads/p/cd/ZCaVcYBFG9jR.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","1541","1541","1541","0,228","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,214","Thu, 18 Jun 2026 12:21:14 GMT","","","","","1.1","","","","","","https://unityverseacademy.com/uploads/p/cd/ZCaVcYBFG9jR.png","2026-07-30 13:41:01"
"https://unityverseacademy.com/uploads/p/p/s/yazilim-uzmanligi-yuz-yuze-egitimi_1.jpeg?v=1713604671","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","53372","53372","53372","7,910","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,296","Wed, 17 Jun 2026 19:04:47 GMT","","","","","1.1","","","","","","https://unityverseacademy.com/uploads/p/p/s/yazilim-uzmanligi-yuz-yuze-egitimi_1.jpeg?v=1713604671","2026-07-30 13:41:01"
"https://unityverseacademy.com/uploads/p/p/s/2b-oyun-karakter-tasarimi-ve-animasyon-canli-online-egitimi_1.jpg?v=1759406018","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","47361","47361","47361","7,019","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,279","Wed, 17 Jun 2026 19:04:47 GMT","","","","","1.1","","","","","","https://unityverseacademy.com/uploads/p/p/s/2b-oyun-karakter-tasarimi-ve-animasyon-canli-online-egitimi_1.jpg?v=1759406018","2026-07-30 13:41:01"
"https://unityverseacademy.com/uploads/p/cd/B83sAeRW67zU.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","65280","65280","65280","9,674","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,075","Wed, 17 Jun 2026 19:04:47 GMT","","","","","1.1","","","","","","https://unityverseacademy.com/uploads/p/cd/B83sAeRW67zU.webp","2026-07-30 13:41:01"
"https://unityverseacademy.com/uploads/p/p/s/unity-ile-oyun-gelistirme-yuz-yuze-egitimi_1.jpeg?v=1714312888","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","49870","49870","49870","7,391","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,252","Wed, 17 Jun 2026 19:04:47 GMT","","","","","1.1","","","","","","https://unityverseacademy.com/uploads/p/p/s/unity-ile-oyun-gelistirme-yuz-yuze-egitimi_1.jpeg?v=1714312888","2026-07-30 13:41:01"
"https://unityverseacademy.com/uploads/p/cd/HXFyN3EqRoYC.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","147910","147910","147910","21,920","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,069","Wed, 17 Jun 2026 19:04:47 GMT","","","","","1.1","","","","","","https://unityverseacademy.com/uploads/p/cd/HXFyN3EqRoYC.webp","2026-07-30 13:41:02"
