title,slug,productid,missing_tab_dataids,url
2024 Python Bootcamp : Sıfırdan Python Yüz Yüze Eğitimi 3 ay,2024-python-bootcamp-sifirdan-python-yuz-yuze-egitimi-3-ay-1284,1284,Ders İçerikleri: 666,/urun/2024-python-bootcamp-sifirdan-python-yuz-yuze-egitimi-3-ay-1284/
2026 Python Bootcamp : Sıfırdan Python Canlı (Online) Eğitimi 30 SAAT,2026-python-bootcamp-sifirdan-python-canli-online-egitimi-30-saat-1295,1295,Ders İçerikleri: 644,/urun/2026-python-bootcamp-sifirdan-python-canli-online-egitimi-30-saat-1295/
2B Çizgi Film ve Animasyon Uzmanlığı Canlı (Online) Eğitimi 2 ay,2b-cizgi-film-ve-animasyon-uzmanligi-canli-online-egitimi-2-ay-1365,1365,Ders İçeriği: 113; Detaylı Müfredat: 625,/urun/2b-cizgi-film-ve-animasyon-uzmanligi-canli-online-egitimi-2-ay-1365/
2B Çizgi Film ve Animasyon Yüz Yüze Eğitimi 2 ay,2b-cizgi-film-ve-animasyon-yuz-yuze-egitimi-2-ay-1367,1367,Ders İçeriği: 635; Detaylı Müfredat: 636,/urun/2b-cizgi-film-ve-animasyon-yuz-yuze-egitimi-2-ay-1367/
2B Oyun Karakter Tasarımı ve Animasyon Canlı (Online) Eğitimi 2 ay,2b-oyun-karakter-tasarimi-ve-animasyon-canli-online-egitimi-2-ay-1364,1364,Ders İçeriği: 639; Detaylı Müfredat: 643,/urun/2b-oyun-karakter-tasarimi-ve-animasyon-canli-online-egitimi-2-ay-1364/
3 Aylık Yapay Zeka Destekli Grafik Tasarım ve Video Kurgu Eğitimi (Online) 3 Ay,3-aylik-yapay-zeka-destekli-grafik-tasarim-ve-video-kurgu-egitimi-online-3-ay-1687,1687,DERS İÇERİKLERİ: 1913,/urun/3-aylik-yapay-zeka-destekli-grafik-tasarim-ve-video-kurgu-egitimi-online-3-ay-1687/
3 Aylık Yapay Zeka Destekli Grafik Tasarım ve Video Kurgu Eğitimi (Yüz Yüze) 3 Ay,3-aylik-yapay-zeka-destekli-grafik-tasarim-ve-video-kurgu-egitimi-yuz-yuze-3-ay-1685,1685,DERS İÇERİKLERİ: 1908,/urun/3-aylik-yapay-zeka-destekli-grafik-tasarim-ve-video-kurgu-egitimi-yuz-yuze-3-ay-1685/
3 Aylık Yapay Zeka Destekli Yazılım ve Proje Geliştirme Eğitimi (Online) 3 Ay,3-aylik-yapay-zeka-destekli-yazilim-ve-proje-gelistirme-egitimi-online-3-ay-1679,1679,DERS İÇERİKLERİ: 1893,/urun/3-aylik-yapay-zeka-destekli-yazilim-ve-proje-gelistirme-egitimi-online-3-ay-1679/
36 Saat Kapsamlı ZBrush Modelleme Eğitimi (Online) 36 SAAT,36-saat-kapsamli-zbrush-modelleme-egitimi-online-36-saat-1572,1572,Ders İçerikleri: 161,/urun/36-saat-kapsamli-zbrush-modelleme-egitimi-online-36-saat-1572/
36 Saat Kapsamlı ZBrush Modelleme Eğitimi Yüz Yüze 36 SAAT,36-saat-kapsamli-zbrush-modelleme-egitimi-yuz-yuze-36-saat-1571,1571,Ders İçerikleri: 1568; Detaylı Müfredat: 1557,/urun/36-saat-kapsamli-zbrush-modelleme-egitimi-yuz-yuze-36-saat-1571/
3DS MAX Canlı (Online) Eğitimi 50 SAAT,3ds-max-canli-online-egitimi-50-saat-1579,1579,Ders İçerikleri: 117,/urun/3ds-max-canli-online-egitimi-50-saat-1579/
3ds Max + Corona ile Fotogerçekçi Mimari Görselleştirme Eğitimi Online 50 SAAT,3ds-max-corona-ile-fotogercekci-mimari-gorsellestirmeegitimi-online-50-saat-1652,1652,Ders İçerikleri: 1790,/urun/3ds-max-corona-ile-fotogercekci-mimari-gorsellestirmeegitimi-online-50-saat-1652/
3ds Max + Corona ile Fotogerçekçi Mimari Görselleştirme Eğitimi Yüz Yüze 50 SAAT,3ds-max-corona-ile-fotogercekci-mimari-gorsellestirmeegitimi-yuz-yuze-50-saat-1651,1651,Ders İçerikleri: 1784,/urun/3ds-max-corona-ile-fotogercekci-mimari-gorsellestirmeegitimi-yuz-yuze-50-saat-1651/
3DS MAX Yüz Yüze Eğitimi 2 ay,3ds-max-yuz-yuze-egitimi-2-ay-1370,1370,Ders İçerikleri: 966,/urun/3ds-max-yuz-yuze-egitimi-2-ay-1370/
Adobe Illustrator Online(Canlı) Özel Ders 12 SAAT,adobe-illustrator-onlinecanli-ozel-ders-12-saat-1389,1389,Ders İçerikleri: 596; Detaylı Müfredat: 597,/urun/adobe-illustrator-onlinecanli-ozel-ders-12-saat-1389/
Adobe Illustrator Online(Canlı) Özel Ders 24 SAAT,adobe-illustrator-onlinecanli-ozel-ders-24-saat-1390,1390,Ders İçerikleri: 596; Detaylı Müfredat: 597,/urun/adobe-illustrator-onlinecanli-ozel-ders-24-saat-1390/
