"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.unityverseacademy.com/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","En İyi Staj Garantili Yazılım, Oyun ve Tasarım Kursları","55","471","En iyi Staj garantili yazılım, oyun, uygulama geliştirme, grafik tasarım, siber güvenlik eğitimleri,  E-devlet ve uluslararası sertifikalarla meslek kursları","157","892","staj garantili eğitim, yazılım kursu, oyun geliştirme, grafik tasarım, siber güvenlik, 3D modelleme, mobil uygulama geliştirme, yapay zeka, e-devlet sertifikası, meslek kursları","177","En çok tercih edilen eğitimler","30","Eğitmenlerimiz","14","'","1","","0","","","","https://unityverseacademy.com/","","","","","","233255","40755","40755","6,040","","2242","503","4,457","13,716","Very Hard","8,068","0","0","","850","210","0","93,330","265","77","0","7","7","0","","","","","23e73854ac725f024029cb73092ce40c","0,429","","","","","tr","1.1","","","","","","https://www.unityverseacademy.com/","2026-07-27 17:45:29"
"https://www.unityverseacademy.com/public/tema10/js/themejs/application.js?v=5.4.94","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,304","Wed, 17 Jun 2026 19:04:45 GMT","","","","","1.1","","","","","","https://www.unityverseacademy.com/public/tema10/js/themejs/application.js?v=5.4.94","2026-07-27 17:45:30"
"https://www.unityverseacademy.com/public/tema10/css/mfb.css?v=5.4.94","text/css; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,420","Wed, 17 Jun 2026 19:04:45 GMT","","","","","1.1","","","","","","https://www.unityverseacademy.com/public/tema10/css/mfb.css?v=5.4.94","2026-07-27 17:45:30"
"https://www.unityverseacademy.com/kategori/3d-modelleme-egitimleri-247/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","3B Modelleme Eğitimleri","23","218","3d eğitim, blender, modelleme, modelling, substance 3d, maya, autodesk, maya kursu, maya eğitimi, maya","102","648","3d eğitim, blender, modelleme, modelling, substance 3d, maya, autodesk, maya kursu, maya eğitimi, maya","102","3D Modelleme Eğitimleri","23","","0","","0","","0","","","","https://unityverseacademy.com/kategori/3d-modelleme-egitimleri-247/","","","","","","188455","31344","31344","4,645","","1147","318","3,607","65,395","Normal","4,442","1","2","","467","210","0","93,330","172","72","0","7","7","0","","","","","a16af15f671d7687da7e099615d2955f","0,398","","","","","tr","1.1","","","","","","https://www.unityverseacademy.com/kategori/3d-modelleme-egitimleri-247/","2026-07-27 17:45:30"
"https://www.unityverseacademy.com/urun/2b-oyun-karakter-tasarimi-ve-animasyon-canli-online-egitimi-553/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","2B Oyun Karakter Tasarımı ve Animasyon Canlı (Online) Eğitimi","61","562","2026 Python bootcamp sıfırdan ileri seviye online kursu. Yapay zeka, veri bilimi ve otomasyon için Python öğrenin!","114","698","Python bootcamp online, sıfırdan Python 2026, yapay zeka Python kursu, online Python eğitimi","92","2B Oyun Karakter Tasarımı ve Animasyon Canlı (Online) Eğitimi","61","","0","2B Oyun Karakter Tasarımı ve Animasyon Eğitimi Eğitmen: Nevin Eryılmaz (CV için tıklayınız.) Nevin Eryılmaz, geleneksel ve dijital tasarım alanlarındaki 20 yılı aşkın sektör deneyimi yanı sıra, İstinye Üniversitesi'nde Bilgisayar Destekli Tasarım ve Animasyon önlisans ve Dijital Oyun Tasarımı lisans programlarının kurucusudur. Üniversitenin Dijital Oyun Tasarımı bölümündeki tasarım ve yazılım merkezli eğitim anlayışının öncüsü olmakla beraber, 2021 yılında aynı üniversitede Türkiye'nin ilk YÖK onaylı Dijital Oyun Araştırma Merkezi olan Dijital Oyun Geliştirme ve Animasyon Araştırma Uygulama Merkezi'ni kurmuştur ve iki sene boyunca Merkez Müdürü olarak görev almıştır. Merkez'de üniversitenin Animasyon ve Dijital Oyun Tasarımı programlarındaki öğrencilerin kendi oyunlarını geliştirerek oyun marketlerinde yayınlaması ve ticarileşmeleri desteklenmiştir. Eryılmaz'ın sektör ve akademi deneyimli kadrosunun etkisi ile, İstinye Üniversitesi Dijital Oyun Tasarımı bölümü iki senede Türkiye'nin ilk tercih edilen 3 üniversitesi arasına yerleşmiştir. Eryılmaz'ın Milli Eğitim Bakanlığı ve çeşitli dijital oyun şirketleri ortaklığında gerçekleşen proje ve çalışmaları devam etmektedir.","1186","Öğr. Gör. Nevin Eryılmaz'ın katıldığı programlardan bir kaçı:","61","","","","https://unityverseacademy.com/urun/2026-python-bootcamp-sifirdan-python-canli-online-egitimi-8/","","","","","","169660","55139","55139","8,172","","1896","414","4,580","9,070","Very Hard","9,569","1","2","","54","7","0","3,110","111","46","0","11","11","0","","","","","daf9d28eb197256580a6018b2e848ea7","0,246","","","","","tr","1.1","","","","","","https://www.unityverseacademy.com/urun/2b-oyun-karakter-tasarimi-ve-animasyon-canli-online-egitimi-553/","2026-07-27 17:45:30"
"https://www.unityverseacademy.com/uploads/p/cd/DHpznJYyvjk7.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","70938","70938","70938","10,513","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,146","Thu, 18 Jun 2026 12:21:14 GMT","","","","","1.1","","","","","","https://www.unityverseacademy.com/uploads/p/cd/DHpznJYyvjk7.webp","2026-07-27 17:45:30"
"https://www.unityverseacademy.com/uploads/p/cd/w2oWBxc7O6gy.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","5509","5509","5509","0,816","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,334","Thu, 18 Jun 2026 12:21:14 GMT","","","","","1.1","","","","","","https://www.unityverseacademy.com/uploads/p/cd/w2oWBxc7O6gy.png","2026-07-27 17:45:30"
"https://www.unityverseacademy.com/kategori/staj-garantili-egitimler-266/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Staj Garantili Eğitimler, Yazılım Eğitimleri","44","366","Staj Garantili Eğitimler, Yazılım Eğitimleri","44","247","","0","Staj Garantili Eğitimler","24","","0","","0","","0","","","","https://unityverseacademy.com/kategori/staj-garantili-egitimler-266/","","","","","","138241","28953","28953","4,291","","614","195","3,149","67,094","Normal","3,610","1","2","","226","210","0","93,330","109","50","0","7","7","0","","","","","d44e99adb63b9774e4614d900911206d","0,203","","","","","tr","1.1","","","","","","https://www.unityverseacademy.com/kategori/staj-garantili-egitimler-266/","2026-07-27 17:45:30"
"https://www.unityverseacademy.com/public/tema10/css/themecss/lib.css?v=5.4.94","text/css; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,539","Wed, 17 Jun 2026 19:04:45 GMT","","","","","1.1","","","","","","https://www.unityverseacademy.com/public/tema10/css/themecss/lib.css?v=5.4.94","2026-07-27 17:45:30"
"https://www.unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Oyun Geliştirme Eğitimleri","26","233","Oyun sektörü hızla büyüyor. Eğer sende bu büyümeye ayak uydurmak istiyorsan bizimle hemen iletişime geç.","104","666","","0","Oyun Geliştirme Eğitimleri","26","","0","","0","","0","","","","https://unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","","","","","","174998","30593","30593","4,534","","971","274","3,544","62,441","Normal","4,126","1","2","","467","210","0","93,330","154","66","0","7","7","0","","","","","494348262b09a9c415c4fbca25bfb14c","0,258","","","","","tr","1.1","","","","","","https://www.unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","2026-07-27 17:45:31"
